name,seed,size,factions,pace,finalTurn,winner,hash,commands,rejections,battleCount,captureDecisions,distinctCapturedSettlements,controlledBattles,controlledCaptures,controlledSpellEvents
B-tiny4-seed74-v2,74,tiny,4,standard,252,faction.cinder_march,41f6fe76,5960,0,153,26,14,87,5,0
B-tiny4-seed99-v2,99,tiny,4,standard,222,faction.glass_tide,d15627df,4823,0,273,8,5,219,3,0
C-tiny4-seed74,74,tiny,4,standard,257,faction.cinder_march,cef149e6,7704,0,90,27,17,18,1,4
C-tiny4-seed99,99,tiny,4,standard,215,faction.glass_tide,495733ff,6724,0,99,34,20,36,6,12
D-tiny4-seed74-standard,74,tiny,4,standard,244,faction.ashen_compact,1c5b5201,7677,0,148,51,23,76,15,10
D-tiny4-seed99-epic,99,tiny,4,epic,808,faction.glass_tide,cb09f975,28685,0,59,13,9,22,5,0
D-sparse4-seed748291,748291,standard,4,long,301,,3c565118,11051,0,12,0,0,0,0,0
D-standard24-seed74-300,74,standard,24,standard,227,faction.mire_courts,1ea09c56,52526,0,582,72,52,92,4,0
