
> theandril@0.1.0 art:validate /home/telephoneheater/Work/Theandril-release
> tsx scripts/art.ts validate

character.marshal.cistern_assembly (BRIEF_READY): PASS e736e4ed95995a72dbe7cb6d046457bbdcb78ad425d5c41f4eb86bb68ce7d5d4
character.marshal.emberwake_convocation (BRIEF_READY): PASS 2ed7f2e2d7faa36c851c2c54cdd6ee0b8d9977d9088830793707816c10253fea
character.marshal.glass_tide (BRIEF_READY): PASS 832a38f60db36262b094a858419f31ab4845c00b776de43f8200d7d3bba4a6e1
character.marshal.iron_covenant (BRIEF_READY): PASS 1b2eb6aa100ef3137dd6d3204d385a86abf65689bcc591e833e2f509d47a98db
character.marshal.lantern_hospices (BRIEF_READY): PASS a95233c792dbd8138482c30d6ee2c6b9533db8144bfcb52328a8bed319b8330b
character.marshal.manytrack_moot (BRIEF_READY): PASS 22724a55ce7477572511cfda310b2d068fab97619235fb91c4641654b6b0ebab
character.marshal.margin_observance (BRIEF_READY): PASS bbe39718ba1e4d926260bfc68bffa1de688cbf49f7d37dfc1f71f0f9417ff835
character.marshal.mire_courts (BRIEF_READY): PASS 79159c3455d4948115512fe552c48e05f723b77cdecb4a20541110142a95aa3a
character.marshal.morrow_spore (BRIEF_READY): PASS 8e2a8eb38ce9845214cef04c1019ccec02baa708ae24ac53824d0a5749e1f807
character.marshal.red_sluice (BRIEF_READY): PASS 2cc3c82c76f05a5a75e6045997714ffc292d76d220e9aaf7ab6d53251cde3a71
character.marshal.reedbound_council (BRIEF_READY): PASS e0ab2cce8870ca7d947fe8dda42be338e1c43cf6a31cdefd7bde0856a1a60528
character.marshal.rimehorn_clans (BRIEF_READY): PASS 86f19d0922c8d1ce5a58b4db7b20acda1151273bc5dec6021e8df2252c22b765
character.marshal.sable_steppe (BRIEF_READY): PASS a38552494bd9a426944e4ea29feb7ead67e39d36838943c4c8520c295ab96177
character.marshal.saltwind_remnant (BRIEF_READY): PASS 565c682885184009bd7fd75fcf0303e923dfa89567e451e0f0600913766d275c
character.marshal.sepulchral_synod (BRIEF_READY): PASS 1cd43c787bb3207b58b35103b7c41f5aa4d07056b01c3d241b9c1a3342cd352f
character.marshal.underhush_exchange (BRIEF_READY): PASS f6eb43bc50e8174ac42c528e4285ee719bfed54c1ee6e68a56e01f37114b4756
character.marshal.unsealed_companies (BRIEF_READY): PASS 2dbf30f2fe8af17c0dc4a057d2db4f23632a2cd7edb1c390a9e30941ba41c61f
character.marshal.velvet_meridian (BRIEF_READY): PASS 5b8f652dbdaca39c02f27bcc5f4d9c5375bbd55476e0d29df2bc1617f133437c
character.marshal.vesper_court (BRIEF_READY): PASS 8c2cadddfef1d3e5ced59574328fce2488e6a6c8dba629ccc922de45a5b4168d
character.marshal.wardhall_remnant (BRIEF_READY): PASS 3b46cc4c35727aef11c8b754f316109ee088119eeb93526b4183672f7cef15b8
character.surveyor.ashen_compact (BRIEF_READY): PASS 6f58c1c402b0b3e22130c070114fe0d7a1957a8268f3d7975ecbfcc2ee783573
character.surveyor.brine_choir (BRIEF_READY): PASS cbf591a91474c5bc6b3a2b54a768b6abdaeccccbb9861a51862e16f698eac4f4
character.surveyor.cairnwing_concord (BRIEF_READY): PASS f9b06b94f045cabf9e6948979b9637acd873c28f16a8266eeb7b07f7ad424931
character.surveyor.cinder_march (BRIEF_READY): PASS ba5264d5a3092f2642c9f26aa7459b581848d56c676d024192f365f8b87249c8
character.surveyor.cistern_assembly (BRIEF_READY): PASS 92516441758f2451480f12dc6428a4fd806e9241b831e2ca907ec240c21ad421
character.surveyor.emberwake_convocation (BRIEF_READY): PASS a7165256bbfc7cc7ea85f41d98768d94e2d141aa12895dc555cfbcdf93652f95
character.surveyor.glass_tide (BRIEF_READY): PASS 902cd08036db3805c185868e492555671f9dce5adb53cbefda61f696a3d15004
character.surveyor.iron_covenant (BRIEF_READY): PASS 9387cc481eacdb52aa029e830c59571624fb2c4fe3f31d89be7086c745598dd7
character.surveyor.lantern_hospices (BRIEF_READY): PASS 0f82ab55020b6a33afa9a346643942ed1faa0847d733a0b9c4bfb4a13d5338f7
character.surveyor.manytrack_moot (BRIEF_READY): PASS 3edc9969d070ff014c8f51fde0ba373adb213dc4f6ce3734cebd31ceb087ee86
character.surveyor.margin_observance (BRIEF_READY): PASS ec9fe707b4065610f106539fe8827d8a96514c3a3fde292469a887589cf6056b
character.surveyor.mire_courts (BRIEF_READY): PASS 486b223ae8a0688b402cafdfd23f78169d3e24b161fe24f2a67cf5a95b1d6420
character.surveyor.morrow_spore (BRIEF_READY): PASS c5aa1e5fbec6075e491ba0a66bac26be2a612921417ff8d097ae607cc970bfae
character.surveyor.red_sluice (BRIEF_READY): PASS 9c1b5dd3f3611be380758d2059f49484a08a980bacb9f05de14590a1f2f886bc
character.surveyor.reedbound_council (BRIEF_READY): PASS 3939dcbf466df567495556267653836ccd6aa54ab949de152faece1590f5df9a
character.surveyor.rimehorn_clans (BRIEF_READY): PASS aed54f20b8a2f034d3ddd39ed0f73ae8902e14d6d0519b42f401811fd40337ee
character.surveyor.sable_steppe (BRIEF_READY): PASS 256315973361f944e12850fc02c3f1eacc81ea110ec4d961b05feee79615f1da
character.surveyor.saltwind_remnant (BRIEF_READY): PASS 952ddf58970dd2a006031940aa73059f537b928a9ead0c3d5763dcc57e8c1bca
character.surveyor.sepulchral_synod (BRIEF_READY): PASS d5aacb667abd3b83e64b0d239c4c4f30ae86bb557e787d99a76b313c2243a012
character.surveyor.underhush_exchange (BRIEF_READY): PASS fc6fcf304b54b44c28d5040e1e412acda04d2743d8e98f480d0aaeb3480ee78f
character.surveyor.unsealed_companies (BRIEF_READY): PASS 396d43e7d1e8e99b133196f8033622bd2bd9638978d76666d13fcf2c219ca209
character.surveyor.velvet_meridian (BRIEF_READY): PASS e52b9b072e173ae2fd85dd79154ae562c1bbb0f5bd02528cee07c9eaf0521424
character.surveyor.vesper_court (BRIEF_READY): PASS af0f7272a29d29b9a7c8c9bbee32069f0e308a0331c4d469261adf3488750e95
character.surveyor.wardhall_remnant (BRIEF_READY): PASS e05b309177a4a3c4cfc7a5a1db2fc28a6cdc3be63e6358a39586e7702f4b1555
character.waykeeper (BRIEF_READY): PASS b9437d46a273406aa8302b05f0f54f8f9783ec7a3a3a57167006ca8b2c8f3340
effect.battle_ember (BRIEF_READY): PASS aab2711a8d99dc374d521c04174556df5896a711dd7bbb986b6df995012dc48a
effect.battle_melee (BRIEF_READY): PASS b25621273271f2cc8e21cd49f9d871ce90469ace5ec4614ef9b0341e8e4e461d
effect.battle_projectile (BRIEF_READY): PASS a82cce780eb0323cd3a9392b271a50b7da50389340529427294ce4e162490cad
effect.battle_rally (BRIEF_READY): PASS 1a8a5e15d6fd2bc0a14441ddaa520b10060876e1aef329c42865275cd940655a
effect.battle_ward (BRIEF_READY): PASS 78d7086e2be2ccfcb5c47458867c630985f6a55e07990d2d86ff8ba823cc3f04
effect.magic (BRIEF_READY): PASS f55649d09b494e2b25f53d9c8687aa931de091598c7b0a9ede243120591fd41d
effect.melee (BRIEF_READY): PASS a89745aa6b4a31e23725f9eea29abd43704a6fbc5e8dee77ab2e9cc2b5794621
effect.movement (BRIEF_READY): PASS 511325f3e65a43cb7b1a0b75ea2deb2e2da29c1e7664184a1474a7896e055a1a
effect.projectile (BRIEF_READY): PASS 30704f061fde7c499e574cfa22da1be1d13c93eacd23d041af50c00653a95862
effect.selection (BRIEF_READY): PASS 72758302bc01975843470775105faf21c56469c1f97c53f61f18c1b1d551d262
improvement.copper_mine (BRIEF_READY): PASS 38870c8e2eacb90c0e874327c906e4d0816ec13405010e7796ebe1660fef2a7e
improvement.glass_refinery (BRIEF_READY): PASS a2338357bf9ef24c05f1e9213624b107dffad37a7edd3d81f448c285c5c150ac
improvement.grange (BRIEF_READY): PASS d2e5caec9cf6e62311f0e27a7afd4ab8ca2b69bf17e47377980e1db6acb3461b
improvement.grove_archive (BRIEF_READY): PASS e53197772275ab2a6cbd9d8420b81aa59f058f5c2f975264ae8778396dc61699
improvement.iron_mine (BRIEF_READY): PASS d8eaeb7d38b3e96b349e0f6ae45f46ca636d71408dd874b7d698e9b01cbf0a7f
improvement.managed_woodlot (BRIEF_READY): PASS 18782bdfc2e76d8d512a8a1357ea58adae85c500fb8e3d5f5d5dab1cfef0cfc6
improvement.oreworks (BRIEF_READY): PASS 3e330c8428940368fd5124a217e9e65dede3ca2149f0533b96f1209c413eac5b
improvement.polder (BRIEF_READY): PASS 109eaa377f690c8366aab78fa69d39ab18fbd2efb08f24baf156dedd169634f2
improvement.quarry (BRIEF_READY): PASS 438b7ab9843d80c8805823fe43e6f69b5139194cce2283aa339045452fdc5381
improvement.reedworks (BRIEF_READY): PASS 037cc72a9d7f36e5ec186dd858dac5232aafde76bc3a199d8b0a7e056c0f75e4
improvement.remount_yard (BRIEF_READY): PASS 497ecd815f262541bac59ecedfa2a3722484a9e2bad055a2d73243e091f7bd7f
improvement.salt_house (BRIEF_READY): PASS 5c24e498e2cc9616d74edd8290ec1643168a4ae17cda9a0af8edabe9acf81e89
improvement.shore_fishery (BRIEF_READY): PASS a1b8c5b4ff60217e2ae7e06b91173c2829219ce1b06986cc320e7b0c2c413a7b
improvement.silver_mine (BRIEF_READY): PASS 6f915ee63733a1306c0c48c4df6b0dc796af4c1e903f3da314555e05112d2858
improvement.spring_garden (BRIEF_READY): PASS ba125826d4b9924dc8baaf1b5202e4dcd6f9865b342eb9e8391028913c379eae
improvement.terraced_fields (BRIEF_READY): PASS 6d5b7c6b28917e92c8019adc83241ef66bf0b1b057d6597b59f779b39f519e9c
improvement.tide_observatory (BRIEF_READY): PASS 1cce05f36e0e415cef97b4c94e07157b3170548f81e9e8fd8319944501b2bd1a
improvement.timber_yard (BRIEF_READY): PASS b75811ba83977ac31420774aae2769e23a8c45b58bc5ff8dd4738d4494babdb3
map.resource (BRIEF_READY): PASS e8fdc28eedd5fdcf3baa34d6933f5f7f6c4c95445c425510d1ec9283d8ef10e2
